Index,time,price,Pred_1h,Pred_4h,Pred_12h,Pred_24h,Pred_48h,Position_1h,Position_4h,Position_12h,Position_24h,Position_48h,Return_1h,Return_4h,Return_12h,Return_24h,Return_48h,Total_Return 1h,Total_Return_4h,Total_Return_12h,Total_Return_24h,Total_Return_48h,Unnamed: 23
107,23/05/2022 11:57:43,30384.95,0.0118078886,-0.0318322481,0.0149007415,-0.0130377704,-0.0535766542,0.0082270454,-0.0082270454,0.0082270454,-0.0082270454,-0.0082270454,,,,,,,,,,,
108,23/05/2022 12:57:37,30211.88,-0.0073831101,-0.0115887763,-0.0129380811,-0.0021839253,-0.0477226566,-0.0082671903,-0.0082671903,-0.0082671903,-0.0082671903,-0.0082671903,,,,,,,,,,,
109,23/05/2022 13:57:44,30104.34,0.0303643118,-0.0023071812,-0.0160863738,-0.027598509,-0.0589251609,0.0083127454,-0.0083127454,-0.0083127454,-0.0083127454,-0.0083127454,,,,,,,,,,,
110,23/05/2022 15:03:30,29898.91,0.0072057845,-0.0618098529,0.0296921269,-0.0236300121,-0.0269935728,0.0084084432,-0.0084084432,0.0084084432,-0.0084084432,-0.0084084432,,,,,,,,,,,
111,23/05/2022 15:57:53,29195.27,0.0145014456,-0.0689150902,-0.0319412319,-0.0301362293,0.0044864668,0.008558411,-0.008558411,-0.008558411,-0.008558411,0.008558411,,,,,,,,,,,
112,23/05/2022 16:58:16,29304.63,0.0041555029,0.0176524108,-0.0025020377,0.0105735491,0.0068058537,0.0085234605,0.0085234605,-0.0085234605,0.0085234605,0.0085234605,,,,,,,,,,,
113,23/05/2022 17:57:57,29379.54,-0.0202345576,-0.0189751367,0.0317058637,0.0018861819,0.013720332,-0.0085104065,-0.0085104065,0.0085104065,0.0085104065,0.0085104065,,,,,,,,,,,
114,23/05/2022 18:57:45,29190.21,0.0147083304,0.0600711683,-0.0028381728,0.0232040861,0.0686453721,0.0085629811,0.0085629811,-0.0085629811,0.0085629811,0.0085629811,,,,,,,,,,,
115,23/05/2022 19:57:38,29103.4,-0.0366291548,-0.0590495599,-0.009256288,0.0143867536,0.0742715698,-0.0085918625,-0.0085918625,-0.0085918625,0.0085918625,0.0085918625,,,,,,,,,,,
116,23/05/2022 20:59:30,29151.91,-0.0316297952,0.00979654,-0.0052240205,0.0473447496,0.0743159446,-0.0085777918,0.0085777918,-0.0085777918,0.0085777918,0.0085777918,,,,,,,,,,,
117,23/05/2022 21:58:28,29234.34,-0.0133507289,-0.029645758,0.0185501119,0.0335664928,0.1038306258,-0.0085558101,-0.0085558101,0.0085558101,0.0085558101,0.0085558101,,,,,,,,,,,
